ID,Current_Location,Sex,Birth_Date,Sire,Dam,Event_Type,Date,Location
,,,,,,Death,11-Apr-94,DUKE PRIM
1101,DUKE PRIM,Female,11-Apr-94,1012,1044,Birth/Hatch,11-Apr-94,DUKE PRIM
,,,,,,Death,11-Apr-94,DUKE PRIM
1102,SEATTLE,Male,11-Feb-95,1064,1088,Birth/Hatch,11-Feb-95,SEATTLE
,,,,,,Death,8-Jul-07,SEATTLE
1103,DUKE PRIM,Male,15-Feb-95,1012,1044,Birth/Hatch,15-Feb-95,DUKE PRIM
,,,,,,Death,22-Aug-09,DUKE PRIM
1104,SEATTLE,Male,15-Feb-95,1012,1044,Birth/Hatch,15-Feb-95,DUKE PRIM
,,,,,,Transfer,23-Apr-98,OMAHA
,,,,,,Transfer,7-Nov-06,SEATTLE
,,,,,,Death,18-Aug-10,SEATTLE
1105,SANDIEGOZ,Female,22-Feb-95,1057,1060,Birth/Hatch,22-Feb-95,SANDIEGOZ
,,,,,,Death,24-Jun-14,SANDIEGOZ
1106,MEMPHIS,Male,23-Feb-95,1041,1040,Birth/Hatch,23-Feb-95,PHILADELP
,,,,,,Transfer,4-Mar-97,MEMPHIS
,,,,,,Death,1-Jun-05,MEMPHIS
1107,CHICAGOBR,Female,23-Feb-95,1041,1040,Birth/Hatch,23-Feb-95,PHILADELP
,,,,,,Transfer,20-Feb-97,CINCINNAT
,,,,,,Transfer,3-Apr-97,CHICAGOBR
,,,,,,Death,2-Jun-04,CHICAGOBR
1108,SANDIEGOZ,Male,26-Feb-95,1017,1019,Birth/Hatch,26-Feb-95,SANDIEGOZ
,,,,,,Death,10-Jun-14,SANDIEGOZ
1109,CHICAGOBR,Female,26-Mar-95,1051,1054,Birth/Hatch,26-Mar-95,CHICAGOBR
,,,,,,Death,7-Mar-98,CHICAGOBR
1110,CHICAGOBR,Male,26-Mar-95,1051,1054,Birth/Hatch,26-Mar-95,CHICAGOBR
,,,,,,Death,26-Mar-95,CHICAGOBR
1113,SANDIEGOZ,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,Undetermined,PUBLIC
,,,,,,Transfer,27-Mar-95,HOGLE
,,,,,,Transfer,2-Nov-95,SANDIEGOZ
,,,,,,Death,2-Mar-11,SANDIEGOZ
1114,CRYSTAL G,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,TORONTO
,,,,,,Transfer,6-Jun-95,CRYSTAL G
,,,,,,Death,20-Jan-00,CRYSTAL G
1115,CLEVELAND,Female,5-Jan-96,1064,1088,Birth/Hatch,5-Jan-96,SEATTLE
,,,,,,Transfer,23-Apr-98,OMAHA
,,,,,,Transfer,17-Oct-08,WILD WRLD
,,,,,,Transfer,7-Oct-11,CLEVELAND
,,,,,,Death,6-Aug-13,CLEVELAND
1116,CHICAGOBR,Male,5-Jan-96,1064,1088,Birth/Hatch,5-Jan-96,SEATTLE
,,,,,,Transfer,1-Oct-98,CHICAGOBR
,,,,,,Death,30-Jan-09,CHICAGOBR
1117,CHICAGOBR,Female,2-Feb-96,1051,1054,Birth/Hatch,2-Feb-96,CHICAGOBR
,,,,,,Death,2-Feb-96,CHICAGOBR
1118,CHICAGOBR,Female,2-Feb-96,1051,1054,Birth/Hatch,2-Feb-96,CHICAGOBR
,,,,,,Death,2-Feb-96,CHICAGOBR
1119,SANDIEGOZ,Male,7-Feb-96,1059,1058,Birth/Hatch,7-Feb-96,SANDIEGOZ
,,,,,,Death,8-Feb-96,SANDIEGOZ
1120,CHICAGOBR,Female,7-Feb-96,1059,1058,Birth/Hatch,7-Feb-96,SANDIEGOZ
,,,,,,Transfer,28-Jun-02,CHICAGOBR
,,,,,,Death,21-May-15,CHICAGOBR
1121,MOODY,Male,20-Feb-96,1057,1060,Birth/Hatch,20-Feb-96,SANDIEGOZ
,,,,,,Transfer,16-Oct-03,WHEELING
,,,,,,Transfer,7-Oct-04,MOODY
,,,,,,Transfer,17-Sep-08,HOUSTON
,,,,,,Transfer,20-Jan-09,MOODY
,,,,,,Death,17-Sep-13,MOODY
1122,LITTLEROC,Male,20-Feb-96,1057,1060,Birth/Hatch,20-Feb-96,SANDIEGOZ
,,,,,,Transfer,15-Oct-02,LITTLEROC
,,,,,,Death,9-Dec-13,LITTLEROC
1123,MINNESOTA,Female,25-Apr-96,1012,1044,Birth/Hatch,25-Apr-96,DUKE PRIM
,,,,,,Transfer,23-Jun-98,MINNESOTA
,,,,,,Death,10-Sep-99,MINNESOTA
1124,PUEBLO,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,USDI
,,,,,,Transfer,28-Mar-97,PUEBLO
,,,,,,Death,20-Aug-13,PUEBLO
1125,PUEBLO,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,USDI
,,,,,,Transfer,28-Mar-97,PUEBLO
,,,,,,Death,11-Sep-12,PUEBLO
1126,MINNESOTA,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,USDI
,,,,,,Transfer,19-Jul-97,S BARBARA
,,,,,,Transfer,20-Sep-00,MINNESOTA
,,,,,,Death,11-Nov-04,MINNESOTA
1127,SEATTLE,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,USDI
,,,,,,Transfer,19-Jul-97,S BARBARA
,,,,,,Transfer,14-Oct-99,SEATTLE
,,,,,,Death,14-Oct-08,SEATTLE
1128,LITTLEROC,Female,10-Jan-97,1051,1054,Birth/Hatch,10-Jan-97,CHICAGOBR
,,,,,,Transfer,15-Dec-98,LITTLEROC
,,,,,,Death,7-Feb-14,LITTLEROC
1129,CINCINNAT,Male,10-Jan-97,1051,1054,Birth/Hatch,10-Jan-97,CHICAGOBR
,,,,,,Death,7-Feb-08,CINCINNAT
1130,PHILADELP,Male,16-Jan-97,1041,1040,Birth/Hatch,16-Jan-97,PHILADELP
,,,,,,Death,13-Jun-13,PHILADELP
1131,ABQBIOPK,Male,5-Feb-97,1059,1058,Birth/Hatch,5-Feb-97,SANDIEGOZ
,,,,,,Transfer,16-Jul-04,ABQBIOPK
,,,,,,Death,12-Sep-14,ABQBIOPK
1132,COLUMBUS,Female,5-Feb-97,1059,1058,Birth/Hatch,5-Feb-97,SANDIEGOZ
,,,,,,Transfer,31-Aug-06,EL PASO
,,,,,,Transfer,12-Jun-12,COLUMBUS
,,,,,,Death,2-Jul-15,COLUMBUS
1133,SANDIEGOZ,Female,11-Feb-97,1065,1061,Birth/Hatch,11-Feb-97,SANDIEGOZ
,,,,,,Death,12-Feb-97,SANDIEGOZ
1134,SANDIEGOZ,Male,20-Feb-97,1017,1060,Birth/Hatch,20-Feb-97,SANDIEGOZ
,,,,,,Death,1-Apr-97,SANDIEGOZ
1135,SANDIEGOZ,Female,20-Feb-97,1017,1060,Birth/Hatch,20-Feb-97,SANDIEGOZ
,,,,,,Transfer,"21/Feb/2002 +/-
6 month",SD-WAP
,,,,,,Transfer,23-Jul-03,SANDIEGOZ
,,,,,,Transfer,30-Jun-09,SEATTLE
,,,,,,Transfer,12-Oct-11,SANDIEGOZ
,,,,,,Death,26-Mar-14,SANDIEGOZ
1136,SEATTLE,Undetermined,30-Mar-92,1064,1043,Birth/Hatch,30-Mar-92,SEATTLE
,,,,,,Death,30-Mar-92,SEATTLE
1137,SEATTLE,Undetermined,30-Mar-92,1064,1043,Birth/Hatch,30-Mar-92,SEATTLE
,,,,,,Death,30-Mar-92,SEATTLE
1138,CLEVELAND,Male,16-May-98,1078,1088,Birth/Hatch,16-May-98,CLEVELAND
,,,,,,Death,27-Mar-10,CLEVELAND
1139,CLEVELAND,Female,16-May-98,1078,1088,Birth/Hatch,16-May-98,CLEVELAND
,,,,,,Death,2-Jul-06,CLEVELAND
1140,PUEBLO,Male,26-May-98,1125,1124,Birth/Hatch,26-May-98,PUEBLO
,,,,,,Death,7-Mar-03,PUEBLO
1141,SANDIEGOZ,Male,19-Apr-99,1059,1089,Birth/Hatch,19-Apr-99,SANDIEGOZ
,,,,,,Transfer,30-Jun-09,SEATTLE
,,,,,,Transfer,12-Oct-11,SANDIEGOZ
,,,,,,Death,14-Feb-18,SANDIEGOZ
1142,CHICAGOLP,Male,19-Apr-99,1059,1089,Birth/Hatch,19-Apr-99,SANDIEGOZ
,,,,,,Transfer,11-Apr-06,CHICAGOLP
,,,,,,Death,23-Feb-15,CHICAGOLP
1143,OMAHA,Female,20-Jun-99,1104,1115,Birth/Hatch,20-Jun-99,OMAHA
,,,,,,Death,24-Jan-09,OMAHA
1144,OMAHA,Female,20-Jun-99,1104,1115,Birth/Hatch,20-Jun-99,OMAHA
,,,,,,Death,19-Dec-13,OMAHA
1145,MOODY,Female,27-Apr-00,1113,1089,Birth/Hatch,27-Apr-00,SANDIEGOZ
,,,,,,Transfer,3-Jul-02,WHEELING
,,,,,,Transfer,7-Oct-04,MOODY
,,,,,,Transfer,17-Sep-08,HOUSTON
,,,,,,Transfer,20-Jan-09,MOODY
,,,,,,Death,4-Oct-12,MOODY
1146,SANDIEGOZ,Female,27-Apr-00,1113,1089,Birth/Hatch,27-Apr-00,SANDIEGOZ
,,,,,,Death,4-May-18,SANDIEGOZ
1147,CHICAGOBR,Male,10-Oct-00,1116,1054,Birth/Hatch,10-Oct-00,CHICAGOBR
,,,,,,Death,12-Oct-00,CHICAGOBR
1148,CHICAGOBR,Male,10-Oct-00,1116,1054,Birth/Hatch,10-Oct-00,CHICAGOBR
,,,,,,Death,12-Oct-00,CHICAGOBR
1149,DUKE PRIM,Female,3-Sep-00,1103,1097,Birth/Hatch,3-Sep-00,DUKE PRIM
,,,,,,Death,3-Sep-00,DUKE PRIM
1150,PUEBLO,Male,8-Mar-00,1125,1124,Birth/Hatch,8-Mar-00,PUEBLO
,,,,,,Death,7-Jan-02,PUEBLO
1151,CLEVELAND,Male,8-Mar-00,1125,1124,Birth/Hatch,8-Mar-00,PUEBLO
,,,,,,Transfer,24-Jun-04,CLEVELAND
,,,,,,Death,21-Feb-10,CLEVELAND
2006,WARSAW,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Asia
,,,,,,Wild Capture,Undetermined,Asia
,,,,,,Transfer,Undetermined,HERSHEY
,,,,,,Transfer,23-Oct-86,MOSCOW
,,,,,,Transfer,20-May-90,WARSAW
,,,,,,Death,24-Nov-90,WARSAW
2097,FRANKFURT,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,IRCHEL
,,,,,,Transfer,19-Apr-90,FRANKFURT
,,,,,,Death,21-Jan-96,FRANKFURT
2098,FRANKFURT,Male,01/Jan/1986 +/- 6 month,WILD,WILD,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,IRCHEL
,,,,,,Transfer,19-Apr-90,FRANKFURT
,,,,,,Death,7-Aug-00,FRANKFURT
2108,KOLN,Male,10-Apr-89,2098,2097,Birth/Hatch,10-Apr-89,IRCHEL
,,,,,,Transfer,19-Apr-90,FRANKFURT
,,,,,,Transfer,26-Nov-02,KOLN
,,,,,,Death,15-Nov-03,KOLN
2129,KOLN,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,PUBLIC
,,,,,,Transfer,12-Oct-91,MOSCOW
,,,,,,Transfer,30-Apr-92,FRANKFURT
,,,,,,Transfer,26-Nov-02,KOLN
,,,,,,Death,6-Dec-05,KOLN
2208,MINNESOTA,Male,27-Apr-94,2108,2129,Birth/Hatch,27-Apr-94,FRANKFURT
,,,,,,Transfer,24-Jun-98,COLUMBUS
,,,,,,Transfer,13-Oct-98,MINNESOTA
,,,,,,Death,29-Oct-10,MINNESOTA
2233,COLUMBUS,Female,30-Jul-96,2108,2129,Birth/Hatch,30-Jul-96,FRANKFURT
,,,,,,Transfer,24-Jun-98,COLUMBUS
,,,,,,Death,31-Aug-98,COLUMBUS
2329,PUEBLO,Undetermined,7-Feb-01,1125,1124,Birth/Hatch,7-Feb-01,PUEBLO
,,,,,,Death,7-Feb-01,PUEBLO
2330,PUEBLO,Undetermined,7-Feb-01,1125,1124,Birth/Hatch,7-Feb-01,PUEBLO
,,,,,,Death,11-Feb-01,PUEBLO
2333,DUKE PRIM,Undetermined,14-May-01,1103,1097,Birth/Hatch,14-May-01,DUKE PRIM
,,,,,,Death,14-May-01,DUKE PRIM
2334,DUKE PRIM,Undetermined,14-May-01,1103,1097,Birth/Hatch,14-May-01,DUKE PRIM
,,,,,,Death,14-May-01,DUKE PRIM
2335,DUKE PRIM,Undetermined,14-May-01,1103,1097,Birth/Hatch,14-May-01,DUKE PRIM
,,,,,,Death,23-May-01,DUKE PRIM
2336,NY BRONX,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Asia
,,,,,,Wild Capture,Undetermined,Asia
,,,,,,Transfer,2-Aug-01,CALGARY
,,,,,,Transfer,22-Nov-01,CRYSTAL G
,,,,,,Transfer,15-Oct-04,IND RIV R
,,,,,,Transfer,2-Jun-09,GRANBY
,,,,,,Transfer,20-Aug-12,NY BRONX
,,,,,,Death,10-Mar-13,NY BRONX
2337,LANGLEY,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Asia
,,,,,,Wild Capture,Undetermined,Asia
,,,,,,Transfer,2-Aug-01,CALGARY
,,,,,,Transfer,21-Nov-01,QUEBEC
,,,,,,Transfer,3-Jun-08,LANGLEY
,,,,,,GO LTF,2-Nov-10,LANGLEY
2338,CALGARY,Male,"01/Jan/1999 +/-
6 month",WILD,WILD,Birth/Hatch,"01/Jan/1999 +/-
6 month",Asia
,,,,,,Wild Capture,Undetermined,Asia
,,,,,,Transfer,2-Aug-01,CALGARY
,,,,,,Death,13-Feb-12,CALGARY
2339,CALGARY,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Asia
,,,,,,Wild Capture,Undetermined,Asia
,,,,,,Transfer,2-Aug-01,CALGARY
,,,,,,Death,17-Sep-01,CALGARY
2340,CALGARY,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Asia
,,,,,,Wild Capture,Undetermined,Asia
,,,,,,Transfer,2-Aug-01,CALGARY
,,,,,,Death,1-Jun-07,CALGARY
2341,BOWMANVIL,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Asia
,,,,,,Wild Capture,Undetermined,Asia
,,,,,,Transfer,2-Aug-01,CALGARY
,,,,,,Transfer,21-Nov-01,QUEBEC
,,,,,,Transfer,3-Jun-08,LANGLEY
,,,,,,Transfer,2-Nov-10,BOWMANVIL
,,,,,,Death,14-Feb-12,BOWMANVIL
2342,EVANSVLLE,Female,15-Aug-01,2208,1126,Birth/Hatch,15-Aug-01,MINNESOTA
,,,,,,Transfer,15-Oct-08,EVANSVLLE
,,,,,,Death,16-Dec-13,EVANSVLLE
2343,MINNESOTA,Undetermined,15-Aug-01,2208,1126,Birth/Hatch,15-Aug-01,MINNESOTA
,,,,,,Death,16-Aug-01,MINNESOTA
2400,AKRON,Female,4-Jan-03,2208,1126,Birth/Hatch,4-Jan-03,MINNESOTA
,,,,,,Transfer,12-May-05,AKRON
,,,,,,Death,30-Dec-09,AKRON
2402,GARDENCTY,Male,30-Nov-01,1102,1127,Birth/Hatch,30-Nov-01,SEATTLE
,,,,,,Transfer,26-Apr-07,OMAHA
,,,,,,Transfer,2-Sep-08,GARDENCTY
,,,,,,Death,4-Mar-14,GARDENCTY
2403,OMAHA,Female,30-Nov-01,1102,1127,Birth/Hatch,30-Nov-01,SEATTLE
,,,,,,Transfer,12-Nov-03,ABQBIOPK
,,,,,,Transfer,7-Nov-13,CLEVELAND
,,,,,,Transfer,26-Oct-15,OMAHA
,,,,,,Death,26-Jan-17,OMAHA
2405,BOWMANVIL,Female,8-Feb-02,2338,2340,Birth/Hatch,8-Feb-02,CALGARY
,,,,,,Transfer,9-Oct-03,CRYSTAL G
,,,,,,Transfer,22-Mar-05,OASES
,,,,,,Transfer,13-Jul-08,LANGLEY
,,,,,,Transfer,2-Nov-10,BOWMANVIL
,,,,,,Death,14-Jul-13,BOWMANVIL
2406,DUKE PRIM,Male,4-Mar-02,1103,1097,Birth/Hatch,4-Mar-02,DUKE PRIM
,,,,,,Death,8-May-12,DUKE PRIM
2407,DUKE PRIM,Male,4-Mar-02,1103,1097,Birth/Hatch,4-Mar-02,DUKE PRIM
,,,,,,Death,5-Mar-02,DUKE PRIM
2408,AKRON,Male,25-Mar-02,1113,1089,Birth/Hatch,25-Mar-02,SANDIEGOZ
,,,,,,Transfer,7-Jun-06,AKRON
,,,,,,Death,1-Mar-15,AKRON
2409,ATTLEBORO,Male,25-Mar-02,1113,1089,Birth/Hatch,25-Mar-02,SANDIEGOZ
,,,,,,Transfer,5-Jul-09,ATTLEBORO
,,,,,,Death,13-Mar-19,ATTLEBORO
2410,PUEBLO,Male,5-Apr-02,1125,1124,Birth/Hatch,5-Apr-02,PUEBLO
,,,,,,Death,13/Jan/2004 +/- 1 day,PUEBLO
2411,BUSCH TAM,Female,5-Apr-02,1125,1124,Birth/Hatch,5-Apr-02,PUEBLO
,,,,,,Transfer,19-Nov-03,CHICAGOLP
,,,,,,Transfer,22-Apr-15,BUSCH TAM
,,,,,,Death,16-Jun-15,BUSCH TAM
2412,CHICAGOLP,Male,3-Jun-02,2208,1126,Birth/Hatch,3-Jun-02,MINNESOTA
,,,,,,Transfer,1-Sep-03,CHICAGOLP
,,,,,,Death,28-Jan-05,CHICAGOLP
2413,CLEVELAND,Female,3-Jun-02,2208,1126,Birth/Hatch,3-Jun-02,MINNESOTA
,,,,,,Transfer,23-Oct-03,CLEVELAND
,,,,,,Death,1-Aug-07,CLEVELAND
2414,CLEVELAND,Female,5-Nov-02,1102,1127,Birth/Hatch,5-Nov-02,SEATTLE
,,,,,,Transfer,12-Nov-03,ABQBIOPK
,,,,,,Transfer,7-Nov-13,CLEVELAND
,,,,,,Death,24-Apr-20,CLEVELAND
2415,MEMPHIS,Male,5-Nov-02,1102,1127,Birth/Hatch,5-Nov-02,SEATTLE
,,,,,,Transfer,12-Nov-09,MEMPHIS
,,,,,,Death,12-May-10,MEMPHIS
2416,MEMPHIS,Female,20-Dec-02,2338,2340,Birth/Hatch,20-Dec-02,CALGARY
,,,,,,Transfer,"01/Jan/2007 +/-
6 month",ST LOUIS
,,,,,,Transfer,26-Oct-07,MEMPHIS
,,,,,,Death,21-May-18,MEMPHIS
2417,NY BRONX,Male,20-Dec-02,2338,2340,Birth/Hatch,20-Dec-02,CALGARY
,,,,,,Transfer,7-Sep-07,ST LOUIS
,,,,,,Transfer,16-Oct-07,NY BRONX
,,,,,,Death,23-Feb-16,NY BRONX
2418,AKRON,Female,9-Feb-03,1125,1124,Birth/Hatch,9-Feb-03,PUEBLO
,,,,,,Transfer,8-Nov-06,MINNESOTA
,,,,,,Transfer,4-May-11,AKRON
,,,,,,Death,31-Jan-16,AKRON
2419,PUEBLO,Undetermined,9-Feb-03,1125,1124,Birth/Hatch,9-Feb-03,PUEBLO
,,,,,,Death,13-Feb-03,PUEBLO
2420,DUKE PRIM,Male,"03/Jan/2002 +/-
6 month",WILD,WILD,Birth/Hatch,"03/Jan/2002 +/-
6 month",Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,01/Jun/2002 +/- 1 day,USFWS
,,,,,,Transfer,24-Jul-02,LOSANGELE
,,,,,,Transfer,27-Jul-04,DUKE PRIM
,,,,,,Death,4-Apr-12,DUKE PRIM
2421,LOSANGELE,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,"01/Jun/2002 +/-
1 day",USFWS
,,,,,,Transfer,24-Jul-02,LOSANGELE
,,,,,,Death,8-Feb-03,LOSANGELE
2422,DUKE PRIM,Female,01/Jan/1997 +/- 6 month,WILD,WILD,Birth/Hatch,01/Jan/1997 +/- 6 month,Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,01/Jan/2001 +/- 6 month,PUBLIC
,,,,,,Transfer,16-Jul-02,MYAKKACLR
,,,,,,Transfer,11-Jun-03,AUDUBON
,,,,,,Transfer,9-Dec-03,DUKE PRIM
,,,,,,Death,26-Oct-17,DUKE PRIM
2423,NY BRONX,Female,"01/Jan/2001 +/-
6 month",2420,2422,Birth/Hatch,"01/Jan/2001 +/-
6 month",PUBLIC
,,,,,,Transfer,16-Jul-02,MYAKKACLR
,,,,,,Transfer,11-Jun-03,AUDUBON
,,,,,,Transfer,15-Dec-04,CALGARY
,,,,,,Transfer,7-Sep-07,ST LOUIS
,,,,,,Transfer,"16/Oct/2007 +/-
6 month",NY BRONX
,,,,,,Death,21-May-16,NY BRONX
2424,DUKE PRIM,Female,01/Jan/2002 +/- 15 day,2420,2422,Birth/Hatch,01/Jan/2002 +/- 15 day,PUBLIC
,,,,,,Transfer,11-Jun-03,AUDUBON
,,,,,,Transfer,9-Dec-03,DUKE PRIM
,,,,,,Death,12-Aug-08,DUKE PRIM
2425,CHICAGOBR,Male,3-Aug-03,1116,1120,Birth/Hatch,3-Aug-03,CHICAGOBR
,,,,,,Death,26-Oct-12,CHICAGOBR
2426,CHICAGOBR,Female,3-Aug-03,1116,1120,Birth/Hatch,3-Aug-03,CHICAGOBR
,,,,,,Death,16-May-14,CHICAGOBR
2427,EVANSVLLE,Male,5-Sep-03,2338,2340,Birth/Hatch,5-Sep-03,CALGARY
,,,,,,Transfer,5-Sep-07,ST LOUIS
,,,,,,Transfer,25-Oct-07,MEMPHIS
,,,,,,Transfer,10-Oct-08,EVANSVLLE
,,,,,,Death,8-Feb-16,EVANSVLLE
2428,OMAHA,Female,5-Sep-03,2338,2340,Birth/Hatch,5-Sep-03,CALGARY
,,,,,,Transfer,29-Sep-05,GRANBY
,,,,,,Transfer,20-Aug-12,NY BRONX
,,,,,,Transfer,24-Oct-13,OMAHA
,,,,,,Death,12-Mar-16,OMAHA
2429,EVANSVLLE,Female,27-Oct-03,2337,2341,Birth/Hatch,27-Oct-03,QUEBEC
,,,,,,Transfer,11-Apr-06,GRANBY
,,,,,,Transfer,20-Aug-12,NY BRONX
,,,,,,Transfer,14/May/2014 +/- 15 day,EVANSVLLE
,,,,,,Death,17-Dec-20,EVANSVLLE
2430,ATTLEBORO,Female,22-Dec-03,1125,1124,Birth/Hatch,22-Dec-03,PUEBLO
,,,,,,Transfer,9-Nov-04,HOUSTON
,,,,,,Transfer,15-Jun-05,ATTLEBORO
,,,,,,Death,27-Mar-17,ATTLEBORO
2431,PUEBLO,Male,22-Dec-03,1125,1124,Birth/Hatch,22-Dec-03,PUEBLO
,,,,,,Death,22-Dec-03,PUEBLO
2432,DUKE PRIM,Male,25-Apr-96,1012,1044,Birth/Hatch,25-Apr-96,DUKE PRIM
,,,,,,Death,30-Apr-96,DUKE PRIM
2433,OMAHA,Undetermined,3-Aug-00,1056,1079,Birth/Hatch,3-Aug-00,OMAHA
,,,,,,Death,3-Aug-00,OMAHA
2434,SEATTLE,Undetermined,17-Mar-01,1102,1127,Birth/Hatch,17-Mar-01,SEATTLE
,,,,,,Death,17-Mar-01,SEATTLE
2435,SANDIEGOZ,Male,10-Aug-04,2208,1126,Birth/Hatch,10-Aug-04,MINNESOTA
,,,,,,Transfer,20-Sep-06,ABQBIOPK
,,,,,,Transfer,28-Oct-13,PUEBLO
,,,,,,Transfer,5-May-16,EVANSVLLE
,,,,,,Transfer,19-Apr-18,SANDIEGOZ
,,,,,,Death,29-Apr-21,SANDIEGOZ
2436,PUEBLO,Female,10-Aug-04,2208,1126,Birth/Hatch,10-Aug-04,MINNESOTA
,,,,,,Transfer,20-Sep-06,PHILADELP
,,,,,,Transfer,25-Aug-15,SANDIEGOZ
,,,,,,Transfer,9-Aug-17,PUEBLO
,,,,,,Death,12-Dec-18,PUEBLO
2437,PUEBLO,Undetermined,11-Aug-04,1125,1124,Birth/Hatch,11-Aug-04,PUEBLO
,,,,,,Death,14-Aug-04,PUEBLO
2438,PUEBLO,Undetermined,11-Aug-04,1125,1124,Birth/Hatch,11-Aug-04,PUEBLO
,,,,,,Death,14-Aug-04,PUEBLO
2439,CALGARY,Male,22-Aug-04,2338,2340,Birth/Hatch,22-Aug-04,CALGARY
,,,,,,Death,27-Aug-04,CALGARY
2440,CALGARY,Male,22-Aug-04,2338,2340,Birth/Hatch,22-Aug-04,CALGARY
,,,,,,Death,22-Aug-04,CALGARY
2441,SANDIEGOZ,Male,23-Jan-05,1108,1146,Birth/Hatch,23-Jan-05,SANDIEGOZ
,,,,,,Death,23-Jan-05,SANDIEGOZ
2442,SANDIEGOZ,Male,23-Jan-05,1108,1146,Birth/Hatch,23-Jan-05,SANDIEGOZ
,,,,,,Death,23-Jan-05,SANDIEGOZ
2444,BOWMANVIL,Male,15-Feb-05,2337,2341,Birth/Hatch,15-Feb-05,QUEBEC
,,,,,,Transfer,3-Jun-08,LANGLEY
,,,,,,Transfer,2-Nov-10,BOWMANVIL
,,,,,,GO LTF,24-Jul-16,BOWMANVIL
2445,PUEBLO,Undetermined,30-Mar-05,1125,1124,Birth/Hatch,30-Mar-05,PUEBLO
,,,,,,Death,1-Apr-05,PUEBLO
2446,PUEBLO,Undetermined,1-Apr-05,1125,1124,Birth/Hatch,1-Apr-05,PUEBLO
,,,,,,Death,1-Apr-05,PUEBLO
2447,CALGARY,Undetermined,9-Apr-05,2338,2340,Birth/Hatch,9-Apr-05,CALGARY
,,,,,,Death,9-Apr-05,CALGARY
2448,CALGARY,Undetermined,9-Apr-05,2338,2340,Birth/Hatch,9-Apr-05,CALGARY
,,,,,,Death,9-Apr-05,CALGARY
2449,EL PASO,Male,17-Sep-05,1108,1146,Birth/Hatch,17-Sep-05,SANDIEGOZ
,,,,,,Transfer,31-Aug-06,EL PASO
,,,,,,Death,15-Jul-17,EL PASO
2450,EL PASO,Male,17-Sep-05,1108,1146,Birth/Hatch,17-Sep-05,SANDIEGOZ
,,,,,,Transfer,25-Nov-08,WILD WRLD
,,,,,,Transfer,7-Oct-11,CLEVELAND
,,,,,,Transfer,15-Oct-20,EL PASO
2451,PUEBLO,Female,2-Oct-04,1103,1097,Birth/Hatch,2-Oct-04,DUKE PRIM
,,,,,,Transfer,2-Oct-08,GARDENCTY
,,,,,,Transfer,15-Nov-13,PUEBLO
,,,,,,Death,5-Feb-16,PUEBLO
2452,CLEVELAND,Undetermined,24-Dec-05,1138,2413,Birth/Hatch,24-Dec-05,CLEVELAND
,,,,,,Death,24-Dec-05,CLEVELAND
2490,CLEVELAND,Undetermined,20-Aug-04,1138,2413,Birth/Hatch,20-Aug-04,CLEVELAND
,,,,,,Death,24-Aug-04,CLEVELAND
2493,BOWMANVIL,Male,15-Feb-05,2337,2341,Birth/Hatch,15-Feb-05,QUEBEC
,,,,,,Transfer,3-Jun-08,LANGLEY
,,,,,,Transfer,2-Nov-10,BOWMANVIL
,,,,,,GO LTF,24-Jul-16,BOWMANVIL
